index	map	name
3987	11050417|18027139	河马衍生物
3988	34822851	狱火机衍生物
3989	62125439	同调士衍生物
3990	22404676	家臣衍生物
3991	54537490	龙子衍生物
3992	29491335	DOG战斗机衍生物
3993	28674153	拉迪安衍生物
3994	90884404	邪眼神衍生物
3995	69868556	巨龙衍生物
3996	9929399	胧影衍生物
3997	67284108	黑羊衍生物
3998	55326323	水晶机巧衍生物
3999	44052075	古代的齿车衍生物
4998	10000000	欧贝利斯克之巨神兵
4999	10000020	奥西里斯之天空龙
5000	10000010	太阳神之翼神龙
11927	10000080	太阳神之翼神龙-球体形
12234	10000090	太阳神之翼神龙-不死鸟
12816	25415053|52900001	灵魂鸟衍生物
12995	2819436	幻煌龙衍生物
13015	17228909	侏罗蛋衍生物
13120	645088	工具衍生物
13205	70950699	引导鹿衍生物
13297	28053764	机龙衍生物
13298	93104633	安全令牌衍生物
13299	14470846	扰乱衍生物
13300	14470847	扰乱衍生物
13301	30650148	复仇死者衍生物
13306	13536607	V-LAN衍生物
13452	75119041	廷达魔三角衍生物
13488	89907228	神龙衍生物
13531	84816245	软件狗衍生物
13553	27198002	狐衍生物
13635	23331401	数据衍生物
13636	46647145|69811711	星遗物衍生物
13637	44586427	电池人衍生物
13681	52340445	闪刀姬衍生物
13688	59160189	暗影衍生物
13797	94703022	拥塞器衍生物
13798	48068379	连接衍生物
13799	34767866	电脑网衍生物
13968	2625940	假脱机衍生物
13969	22953212	铃猫衍生物
13970	21830680	时钟衍生物
14046	43664495	调皮宝贝衍生物
14077	88923964	圣骑士衍生物
14158	74627017	科技属衍生物
14159	65500516	乌贼墨衍生物
14160	26326542	不知火衍生物
14161	51208047	淘气仙星衍生物
14190	13935002	月光衍生物
14331	76589547	溢出衍生物
14350	60025884	决斗龙衍生物
14793	27204312	原始生命态衍生物
14794	38053382	王战团队衍生物
14890	1799465	蝉蜕衍生物
14951	38030233	天威龙衍生物
15067	11738490	@火灵天星衍生物
15068	7610395	咒眼之眷属衍生物
15183	69550260	疾行机人衍生物
15560	13764603|49752796|87669905	双天魂衍生物
15580	34479659	短吻鳄衍生物
15772	82255873	战华的龙兵衍生物
15843	9396663|44308318	冰结界衍生物
15895	19280590	忒勒斯的羽翼衍生物
16042	14957441	落魂衍生物
16110	23837055|78789357	溟界衍生物
16270	63184228	星尘衍生物
16464	60514626	假面衍生物
16567	14821891|20001444|56495148|78836196|93490857|99137267	相剑衍生物
16656	40633085|64213018|87240372	骑甲虫衍生物
16760	3285552|34690954	勇者衍生物
16948	51611042	后继者衍生物
16949	25419324	恐啡肽骇龙衍生物
17071	81767889	冰剑衍生物
17192	44092305	异睡衍生物
17193	32335698	祟灵衍生物
17401	15590356	炽火衍生物
17663	8025951	工具箱子衍生物
17664	98875864	G魔像衍生物
17738	58371672	宝玉兽衍生物
17836	70465811	幻耀衍生物
17837	27882994	阴魂怒吼鲑衍生物
17916	64583601	龙衍生物
18229	30327675	黑兽衍生物
18230	30327676	白兽衍生物
18231	85969518	海造贼衍生物
18445	31600513	宝贝螳螂衍生物
18462	59900656	硝化衍生物
18544	18494512	冰翡衍生物
18545	30765616	百檎衍生物
18751	40551411	饿魔新飨衍生物
18869	74659583	神碑衍生物
18929	11654068|22411610	炸弹衍生物
19013	36629636	白绵毛衍生物
19077	6080038	废品战士
19234	35263181	零嘴衍生物
19235	33676147	逃羊衍生物
30000	66431519	圣炎王 大鹏不死鸟
30001	64182380	炎王神 大鹏不死鸟·永炎
30002	90681088	真炎王 凤凰不死鸟
30003	90241276	蛇眼炎磷
30004	99307040	荷鲁斯之黑炎神
30005	25801745	肃声的祈祷者 理
30006	47172959	于贝尔-永远之爱的守护者
30007	3594985	威风妖怪·龙
19536	35834120	灯衍生物
30008	96402918	冰灵山的龙祖 矛枪龙
30009	61775475	次世代兵器 还零
30010	34446231	狱火机·洪水
30011	23623653	精灵兽使 蕾拉
30012	96113307	圣灵兽骑 风族
19754	42427231	机械衍生物
19922	60203671	黄金荣耀衍生物
19923	92907249	百夫骑衍生物
19943	96363154	调律
20040	32807848	增援
20073	48228391	黄铁衍生物
30018	60764609	刻印群魔的刻魔锻冶师
30014	83257450	幻之召唤神 艾克佐迪亚
30015	19652159	光与暗之龙王
30017	14307929	白森林的妖魔 迪亚贝尔
30016	76290637	机关傀儡-机械降临的粉丝幻想
20261	22712878	麻痹衍生物
20262	35552986	魔镌衍生物
30020	44698398	神影金龙 光速子龙
30021	75748977	XYZ-极超神龙炮
30023	64804137	淘气仙星乐队·德拉玛蒂丝
30022	37683441	淘气仙星·诺布露安琪儿
30019	88177325	No.107 银河眼时空龙
30026	80870883	真红眼黑重钢龙
30028	46174776	杀戮圣徒 魇女王鸦
30029	8841431	骑士皇 普莉梅拉·首席百夫长
30025	7628844	混沌No.32 海咬龙 鲨龙兽·海恶白煞
30027	60517697	海皇龙神 波塞德拉·深渊
30034	91438674	阿尔戈☆群星-荣冠的阿德拉
30030	13708888	邪心英雄 新宇支配者
30033	58071334	蛇眼原罪龙
30032	48958757	剑斗兽 克劳狄乌斯
30031	84343351	水晶幻透翼突破同调龙
30035	21281085	魔轰神 利威西卜魔
30036	52553102	朱罗纪小行星兽
30037	25342956	宝石骑士王·辉钻-色散
30038	51618973	影灵衣魔剑士 阿旺斯
30039	13408726	炼机圣之影灵衣
21227	26077389	闪刀姬-零衣
21228	8491309	闪刀姬-飒天
